Venue Category,Category
Gourmet Shop,Eatery
Greek Restaurant,Restaurant
Grocery Store,Store
Gym,Sports
Gym / Fitness Center,Sports
Gym Pool,Sports
Halal Restaurant,Restaurant
Historic Site,Entertainment
Hobby Shop,Misc
Hockey Arena,Sports
Home Service,Business
Hong Kong Restaurant,Restaurant
Hookah Bar,Liquor
Hotel,Business
Hotel Bar,Liquor
Housing Development,Business
Ice Cream Shop,Eatery
Indian Restaurant,Restaurant
Intersection,Transport
Irish Pub,Liquor
IT Services,Business
Italian Restaurant,Restaurant
Japanese Restaurant,Restaurant
Jazz Club,Entertainment
Jewelry Store,Store
Juice Bar,Eatery
Kitchen Supply Store,Store
Korean BBQ Restaurant,Restaurant
Korean Restaurant,Restaurant
Lake,Entertainment
Latin American Restaurant,Restaurant
Leather Goods Store,Store
Light Rail Station,Transport
Lingerie Store,Store
Liquor Store,Store
Lounge,Liquor
Luggage Store,Store
Malay Restaurant,Restaurant
Market,Store
Martial Arts School,Academic
Massage Studio,Entertainment
Mattress Store,Store
Mediterranean Restaurant,Restaurant
Mens Store,Store
Metro Station,Transport
Mexican Restaurant,Restaurant
Middle Eastern Restaurant,Restaurant
Miscellaneous Shop,Misc
Modern European Restaurant,Restaurant
Molecular Gastronomy Restaurant,Restaurant
Monument / Landmark,Entertainment
Moroccan Restaurant,Restaurant
Movie Theater,Entertainment
Museum,Entertainment
Music Venue,Entertainment
Neighborhood,Misc
New American Restaurant,Restaurant
Nightclub,Entertainment
Noodle House,Restaurant
Office,Business
Opera House,Entertainment
Optical Shop,Misc
Organic Grocery,Store
Other Great Outdoors,Misc
Pakistani Restaurant,Restaurant
Park,Entertainment
Performing Arts Venue,Entertainment
Peruvian Restaurant,Restaurant
Pet Store,Store
Pharmacy,Health
Pie Shop,Eatery
Pizza Place,Restaurant
Platform,Misc
Playground,Entertainment
Plaza,Entertainment
Poke Place,Entertainment
Pool,Entertainment
Portuguese Restaurant,Restaurant
Post Office,Business
Poutine Place,Misc
Print Shop,Misc
Pub,Liquor
Ramen Restaurant,Restaurant
Record Shop,Misc
Residential Building (Apartment / Condo),Business
Restaurant,Restaurant
Rock Climbing Spot,Sports
Rock Club,Entertainment
Roof Deck,Misc
Sake Bar,Eatery
Salad Place,Eatery
Salon / Barbershop,Grooming
Sandwich Place,Eatery
Sculpture Garden,Entertainment
Seafood Restaurant,Restaurant
Shoe Store,Store
Shopping Mall,Shopping Mall
Skating Rink,Sports
Smoke Shop,Misc
Smoothie Shop,Eatery
Snack Place,Eatery
Soccer Field,Sports
Soccer Stadium,Sports
Soup Place,Eatery
Souvlaki Shop,Eatery
Spa,Grooming
Spanish Restaurant,Restaurant
Speakeasy,Misc
Sporting Goods Shop,Sports Store
Sports Bar,Liquor
Sports Club,Sports
Steakhouse,Restaurant
Storage Facility,Misc
Strip Club,Entertainment
Supermarket,Store
Sushi Restaurant,Restaurant
Taco Place,Eatery
Tailor Shop,Tailor
Taiwanese Restaurant,Restaurant
Tanning Salon,Grooming
Tea Room,Eatery
Tennis Court,Sports
Thai Restaurant,Restaurant
Theater,Entertainment
Theme Park,Entertainment
Theme Park Ride / Attraction,Entertainment
Theme Restaurant,Restaurant
Toy / Game Store,Store
Trail,Sports
Train Station,Transport
Turkish Restaurant,Restaurant
Vegetarian / Vegan Restaurant,Restaurant
Video Game Store,Store
Vietnamese Restaurant,Restaurant
Wine Bar,Liquor
Wine Shop,Liquor
Wings Joint,Eatery
Womens Store,Store
Yoga Studio,Sports
Zoo Exhibit,Entertainment
